"number","question","choice_A","choice_B","choice_C","choice_D","choice_E","correct_letter","explanation","difficulty","textbook_page","suggested_time_seconds"
"1","AIDP'nin ilk birkaç gününde rutin motor ve duyusal NCS normal olabilir. En erken elektrofizyolojik anormallik hangisidir?","Sural SNAP amplitüdünde belirgin düşme","F yanıtı ve H refleksinde gecikme, kayıp veya impersistans","Yaygın fibrilasyon potansiyelleri","Tüm motor sinirlerde belirgin distal latans uzaması","Kronik reinnervasyon MUAP'ları","B","AIDP sıklıkla proksimal poliradikülopati olarak başladığından ilk değişiklikler geç yanıtlarda görülür.","Orta","499-500","30"
"2","Segmental demiyelinizan NCS değişikliklerinin zamana göre görülme sıklığı için en doğru eşleştirme hangisidir?","1. haftada %85; 2. haftada %100","2. haftada %15; 3. haftada %35","2. haftada %85; 3. haftada %50","2. haftada yaklaşık %50; 3. haftada yaklaşık %85","İlk günden itibaren hastaların tamamında","D","Karakteristik değişiklikler yaklaşık iki haftada hastaların %50'sinde, üç haftada %85'inde görülür.","Orta","499","25"
"3","AIDP'de sural sparing paternini hangi bulgu tanımlar?","Sural SNAP kayıp; median ve ulnar SNAP korunmuş","Tüm duyusal SNAP'lar normal, tüm motor yanıtlar kayıp","Sural SNAP korunmuş; median ve ulnar SNAP azalmış veya kayıp","Sadece radial SNAP kayıp; sural SNAP düşük","Sural ve superficial peroneal SNAP kayıp; median SNAP normal","C","Sural sparing, sural yanıt korunurken üst ekstremite median ve ulnar duyusal yanıtlarının bozulmasıdır.","Orta","499-500","30"
"4","Edinilmiş segmental demiyelinizasyonu en güçlü biçimde destekleyen NCS paterni hangisidir?","Tuzak bölgeleri dışında iletim bloğu veya temporal dispersiyon","Sadece karpal tünelde hafif median yavaşlama","Tüm sinirlerde hafif ve uniform hız azalması","Düşük distal CMAP ile tamamen normal geç yanıtlar","İzole sural amplitüd düşüklüğü","A","Non-entrapment bölgelerde blok ve temporal dispersiyon edinilmiş demiyelinizasyonun temel göstergeleridir.","Orta","499-500","30"
"5","Box 29.5'e göre akut demiyelinizan polinöropati için dört elektrofizyolojik kriter grubundan kaçı gösterilmelidir?","Yalnızca 1","Tamamı","En az 2","Sadece geç yanıt ve blok kriterleri","En az 3","E","DL, ileti hızı, geç yanıtlar ve blok/dispersiyon gruplarından en az üçü karşılanmalıdır.","Kolay","499","20"
"6","Distal CMAP amplitüdü normal olan bir motor sinirde distal latans uzaması kriteri hangisidir?","DL >%105 ULN","DL >%115 ULN","DL >%125 ULN","DL >%130 ULN","DL >%150 ULN","B","Normal CMAP amplitüdünde akut kriter DL'nin laboratuvar ULN değerinin %115'ini aşmasıdır.","Zor","499","25"
"7","Distal CMAP amplitüdü LLN'nin altında olan bir motor sinirde distal latans için hangi eşik kullanılır?","DL >%110 ULN","DL >%115 ULN","DL >%120 ULN","DL >%125 ULN","DL >%140 ULN","D","Düşük CMAP amplitüdünde distal latans eşiği daha sıkıdır: %125 ULN.","Zor","499","25"
"8","CMAP amplitüdü LLN'nin %50'sinden yüksekse motor ileti hızı yavaşlama kriteri hangisidir?","CV <%95 LLN","CV <%85 LLN","CV <%90 LLN","CV <%75 LLN","CV <%60 LLN","C","CMAP görece korunmuşsa akut kriter CV'nin LLN'nin %90'ının altına düşmesidir.","Zor","499","25"
"9","CMAP amplitüdü LLN'nin %50'sinden düşükse motor ileti hızı için hangi eşik kullanılır?","CV <%80 LLN","CV <%90 LLN","CV <%85 LLN","CV <%70 LLN","CV <%60 LLN","A","Düşük CMAP varlığında demiyelinizan yavaşlama için CV <%80 LLN aranır.","Zor","499","25"
"10","F yanıtı/H refleksi kriterinin doğru yorumu hangisidir?","Yalnız amplitüd azalması yeterlidir","F yanıtı her kasta mutlaka alınmalıdır","Normal distal CMAP varsa F yokluğu önemsizdir","Sadece H refleksi değerlendirilir","Latans >%125 ULN veya yanıt yokluğu kriterdir; distal CMAP çok düşükse F yokluğu dikkatle yorumlanır","E","Geç yanıt kriteri uzama veya yokluktur; çok düşük distal CMAP, F yanıtının teknik/fizyolojik olarak alınamamasına yol açabilir.","Zor","499","35"
"11","Kesin motor iletim bloğu için Box 29.5'te kullanılan ölçüm ve eşik hangisidir?","Proksimal/distal amplitüd oranı <0,50","Proksimal/distal CMAP alan oranı <0,50","Proksimal/distal süre oranı >1,15","Distal/proksimal latans oranı >1,25","Motor ileti hızı <%90 LLN","B","Kesin blok, proksimal CMAP alanının distal alanın %50'sinden az olmasıyla tanımlanır.","Zor","499","25"
"12","Olası motor iletim bloğu için doğru eşik hangisidir?","Proksimal/distal alan oranı <0,70","Proksimal/distal süre oranı >1,50","Distal/proksimal amplitüd oranı <0,50","Proksimal/distal amplitüd oranı <0,70","Proksimal/distal amplitüd oranı >1,15","D","Olası blok için proksimal/distal CMAP amplitüd oranı 0,70'in altındadır.","Zor","499","25"
"13","Temporal dispersiyon kriteri hangisidir?","Distal CMAP amplitüdü <%20 LLN","Proksimal/distal alan oranı <0,50","Proksimal/distal amplitüd oranı <0,70","F yanıt latansı >%115 ULN","Proksimal/distal süre oranı >1,15","E","Proksimal CMAP süresinin distal süreye oranının 1,15'i aşması temporal dispersiyondur.","Orta","499","25"
"14","Distal CMAP: amplitüd 10 mV, alan 20 mV·ms, süre 6 ms. Proksimal CMAP: amplitüd 5,8 mV, alan 15 mV·ms, süre 9 ms. En doğru yorum hangisidir?","Temporal dispersiyon + olası blok; kesin blok yok","Yalnız kesin iletim bloğu","Yalnız distal latans uzaması","Normal proksimal-distal değişim","Aksonal kayıp tanısı kesin","A","Amplitüd oranı 0,58 olası bloğu, süre oranı 1,50 dispersiyonu destekler; alan oranı 0,75 olduğu için kesin blok yoktur.","Zor","499","45"
"15","Rutin üç noktalı ulnar ve peroneal motor çalışmalar için doğru uyarım protokolü hangisidir?","Ulnar: avuç–bilek–aksilla; peroneal: ayak–diz–kalça","Ulnar: bilek–dirsek altı–dirsek üstü; peroneal: ayak bileği–fibula boynu altı–lateral popliteal fossa","Ulnar: parmak–bilek–dirsek; peroneal: ayak bileği–medial malleol–popliteal fossa","Ulnar: bilek–aksilla–Erb; peroneal: ayak bileği–tibial tüberkül–gluteal bölge","Her iki sinir için yalnız distal ve tek proksimal uyarım yeterlidir","B","Box 29.7 ulnar için bilek/dirsek altı/dirsek üstü; peroneal için ayak bileği/fibula boynu altı/lateral popliteal fossa önerir.","Orta","505","35"
"16","Erken AIDP'de zayıf bir kasta beklenen iğne EMG paterni hangisidir?","Bol fibrilasyon, kısa süreli küçük MUAP ve erken recruitment","Tam elektriksel sessizlik ve motor ünite olmaması","Normal recruitment ile yaygın fasikülasyon","Denervasyon yok, normal MUAP morfolojisi ve azalmış recruitment","Kronik büyük-uzun MUAP ve tam interferans","D","Erken demiyelinizan patern normal MUAP morfolojisi ve denervasyon yokluğu ile birlikte azalmış recruitment gösterir.","Orta","500","30"
"17","Erken AIDP'de bazen görülen büyük MUAP'ların doğru açıklaması hangisidir?","Hızlı kollateral reinnervasyon gelişmiştir","Kas liflerinde primer hipertrofi vardır","Küçük miyelinli motor üniteler önce bloke olduğu için normal büyük üniteler açığa çıkar","İğne filtresi yanlış ayarlanmıştır","Bu bulgu yalnız AMAN'da görülür","C","Bu erken büyük MUAP'lar reinnerve değildir; normalde interferans içinde gizlenen büyük üniteler küçük üniteler bloke olunca görünür.","Zor","500","35"
"18","Erken AIDP'de istirahat iğne EMG'si için doğru istisna hangisidir?","Özellikle yüz kaslarında klinik myokimi olmadan myokimik deşarj görülebilir","İlk günden tüm kaslarda yoğun fibrilasyon beklenir","Kompleks repetitif deşarj zorunludur","Myotonik deşarj AIDP için özgüldür","Erken spontan aktivite yalnız distal kaslarda görülür","A","Erken dönemde istirahat genellikle sessizdir; istisna ekstremite ve özellikle yüz kaslarındaki myokimik deşarjlardır.","Orta","500","30"
"19","AIDP'de fibrilasyon potansiyellerinin zamanlaması için doğru seçenek hangisidir?","İlk 24 saatte başlar ve 1 haftada kaybolur","Yalnız 6. aydan sonra gelişir","2–5. haftada gelişir, 6–10. haftada maksimum olur ve aylarca sürebilir","Sadece klinik iyileşme tamamlandıktan sonra ortaya çıkar","Yalnız distal kaslarda 1–2. haftada görülür","C","Sekonder aksonal kayıp fibrilasyonları 2–5. haftada oluşturur; yoğunluk 6–10. haftada zirve yapar.","Orta","500","30"
"20","GBS'de kötü sonuç veya uzamış seyir için en güçlü tek EDX öngördürücü hangisidir?","Birinci haftada myokimik deşarj sayısı","Dördüncü haftada MUAP faz sayısı","İkinci haftada sural SNAP amplitüdü","İlk gün F yanıt latansındaki uzama","3–5. haftada distal CMAP amplitüdünün LLN'nin %20'sinden düşük olması","E","Bölüm 29'a göre 3–5. haftada çok düşük distal CMAP amplitüdü en iyi tek elektrofizyolojik prognostik göstergedir.","Zor","500","35"
